"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","221","Проверка успешной регистрации","UI tests","Mon Oct 06 11:45:05 GMT 2025","broken","Mon Oct 06 11:45:06 GMT 2025","TestRegister","test_register","",""
"","30143","Проверка недопустимого имени пользователя","UI tests","Mon Oct 06 11:44:05 GMT 2025","broken","Mon Oct 06 11:44:35 GMT 2025","TestLogin","test_login","",""
"","166","Изменение данных юзера","API tests","Mon Oct 06 11:42:27 GMT 2025","passed","Mon Oct 06 11:42:27 GMT 2025","TestUsers","test_users","",""
"","811","Создания юзера","API tests","Mon Oct 06 11:42:24 GMT 2025","passed","Mon Oct 06 11:42:25 GMT 2025","TestBase","test_base","",""
"","1397","Проверка успешного входа в систему","UI tests","Mon Oct 06 11:44:03 GMT 2025","passed","Mon Oct 06 11:44:05 GMT 2025","TestLogin","test_login","",""
"","120","Получение данных юзера","API tests","Mon Oct 06 11:42:26 GMT 2025","passed","Mon Oct 06 11:42:26 GMT 2025","TestUsers","test_users","",""
"","30158","Проверка регистрации без указания имени пользователя","UI tests","Mon Oct 06 11:45:06 GMT 2025","broken","Mon Oct 06 11:45:36 GMT 2025","TestRegister","test_register","",""
"","205","Проверка регистрации с использованием несовпадающих паролей","UI tests","Mon Oct 06 11:45:36 GMT 2025","broken","Mon Oct 06 11:45:37 GMT 2025","TestRegister","test_register","",""
"","217","Проверка регистрации без указания пароля","UI tests","Mon Oct 06 11:45:36 GMT 2025","broken","Mon Oct 06 11:45:36 GMT 2025","TestRegister","test_register","",""
"","30173","Проверка недопустимого пароля пользователя","UI tests","Mon Oct 06 11:44:35 GMT 2025","broken","Mon Oct 06 11:45:05 GMT 2025","TestLogin","test_login","",""
