"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Изменение данных юзера","API tests","Mon Oct 06 19:44:34 GMT 2025","broken","Mon Oct 06 19:44:34 GMT 2025","TestUsers","test_users","",""
"","8476","Проверка недопустимого пароля пользователя","UI tests","Mon Oct 06 19:48:10 GMT 2025","passed","Mon Oct 06 19:48:19 GMT 2025","TestLogin","test_login","",""
"","8366","Проверка регистрации без указания имени пользователя","UI tests","Mon Oct 06 19:48:29 GMT 2025","passed","Mon Oct 06 19:48:38 GMT 2025","TestRegister","test_register","",""
"","0","Создания юзера","API tests","Mon Oct 06 19:44:32 GMT 2025","broken","Mon Oct 06 19:44:32 GMT 2025","TestBase","test_base","",""
"","10351","Проверка регистрации с использованием несовпадающих паролей","UI tests","Mon Oct 06 19:48:46 GMT 2025","passed","Mon Oct 06 19:48:56 GMT 2025","TestRegister","test_register","",""
"","8322","Проверка регистрации без указания пароля","UI tests","Mon Oct 06 19:48:38 GMT 2025","passed","Mon Oct 06 19:48:46 GMT 2025","TestRegister","test_register","",""
"","10519","Проверка успешной регистрации","UI tests","Mon Oct 06 19:48:19 GMT 2025","passed","Mon Oct 06 19:48:29 GMT 2025","TestRegister","test_register","",""
"","8718","Проверка успешного входа в систему","UI tests","Mon Oct 06 19:47:53 GMT 2025","passed","Mon Oct 06 19:48:02 GMT 2025","TestLogin","test_login","",""
"","8471","Проверка недопустимого имени пользователя","UI tests","Mon Oct 06 19:48:02 GMT 2025","passed","Mon Oct 06 19:48:10 GMT 2025","TestLogin","test_login","",""
"","0","Получение данных юзера","API tests","Mon Oct 06 19:44:33 GMT 2025","broken","Mon Oct 06 19:44:33 GMT 2025","TestUsers","test_users","",""
